CRz2A-jS73w,day,FOVJ2cWHOcA,jqK1dE0FWo0,wAitL1ZcxUY,tg4CPaKzSUU,8emHHNOMsNI,n2IPsu0yYbE,OFt3OqmGSbI,TCP_L2spu7g,ezih_jNX0e0,290kSekOSfM,TF-rvo3kEfQ,4rz4I69mQMo,yJnXLOPTx8k,kgBKS4JCsec,oln6Tj4egZg,FmjlEntyr9o
1,1433203200000,13.0,64.0,18.0,370.0,10.0,835.0,179.0,16.0,18.0,35.0,41.0,312.0,115.0,138.0,191.0,72.0
2,1433289600000,12.0,64.0,9.0,329.0,14.0,899.0,175.0,13.0,15.0,23.0,30.0,309.0,138.0,141.0,176.0,84.0
2,1433376000000,7.0,62.0,13.0,354.0,41.0,1106.0,175.0,18.0,22.0,37.0,42.0,298.0,128.0,167.0,239.0,61.0
3,1433462400000,12.0,83.0,17.0,417.0,33.0,1024.0,202.0,17.0,15.0,33.0,57.0,342.0,132.0,156.0,212.0,61.0
2,1433548800000,11.0,72.0,7.0,406.0,23.0,951.0,184.0,15.0,11.0,36.0,38.0,327.0,120.0,133.0,207.0,59.0
6,1433635200000,12.0,72.0,8.0,380.0,25.0,966.0,188.0,19.0,22.0,32.0,34.0,288.0,111.0,118.0,182.0,66.0
4,1433721600000,11.0,71.0,16.0,359.0,33.0,1065.0,186.0,10.0,23.0,26.0,31.0,315.0,107.0,126.0,268.0,68.0
8,1433808000000,11.0,57.0,10.0,396.0,29.0,1171.0,206.0,22.0,16.0,20.0,30.0,291.0,94.0,124.0,239.0,51.0
5,1433894400000,17.0,100.0,13.0,419.0,49.0,2529.0,190.0,13.0,21.0,24.0,33.0,325.0,135.0,158.0,337.0,46.0
2,1433980800000,19.0,80.0,9.0,410.0,30.0,1490.0,196.0,19.0,16.0,25.0,42.0,320.0,171.0,136.0,253.0,58.0
2,1434067200000,11.0,82.0,8.0,423.0,32.0,1294.0,198.0,13.0,15.0,36.0,9.0,343.0,207.0,141.0,277.0,49.0
3,1434153600000,12.0,62.0,5.0,424.0,27.0,1315.0,230.0,22.0,32.0,31.0,34.0,369.0,166.0,161.0,297.0,56.0
1,1434240000000,13.0,61.0,6.0,372.0,26.0,1178.0,162.0,18.0,11.0,28.0,21.0,279.0,146.0,134.0,245.0,54.0
1,1434326400000,12.0,64.0,10.0,366.0,16.0,1089.0,152.0,20.0,10.0,27.0,24.0,263.0,123.0,136.0,227.0,62.0
3,1434412800000,10.0,55.0,9.0,444.0,24.0,1082.0,176.0,28.0,21.0,24.0,24.0,284.0,129.0,153.0,159.0,43.0
3,1434499200000,20.0,80.0,14.0,398.0,26.0,1020.0,172.0,10.0,20.0,34.0,41.0,323.0,92.0,140.0,201.0,56.0
4,1434585600000,17.0,84.0,10.0,398.0,25.0,1105.0,197.0,26.0,14.0,35.0,24.0,340.0,141.0,122.0,153.0,47.0
4,1434672000000,14.0,67.0,12.0,470.0,32.0,1012.0,201.0,13.0,20.0,44.0,39.0,367.0,145.0,130.0,198.0,69.0
3,1434758400000,16.0,93.0,16.0,532.0,19.0,1114.0,190.0,14.0,21.0,34.0,27.0,328.0,139.0,149.0,198.0,63.0
3,1434844800000,14.0,73.0,14.0,458.0,41.0,1866.0,203.0,18.0,17.0,28.0,25.0,271.0,153.0,151.0,362.0,76.0
2,1434931200000,4.0,90.0,13.0,419.0,36.0,1496.0,143.0,14.0,25.0,39.0,27.0,282.0,170.0,136.0,255.0,65.0
3,1435017600000,14.0,87.0,18.0,470.0,27.0,1580.0,177.0,18.0,18.0,37.0,28.0,344.0,164.0,190.0,285.0,62.0
3,1435104000000,10.0,79.0,18.0,482.0,29.0,1508.0,209.0,19.0,14.0,32.0,32.0,356.0,176.0,148.0,283.0,65.0
3,1435190400000,19.0,91.0,17.0,433.0,26.0,1304.0,197.0,16.0,16.0,31.0,23.0,352.0,117.0,192.0,220.0,76.0
4,1435276800000,10.0,94.0,17.0,453.0,14.0,1272.0,186.0,19.0,17.0,46.0,25.0,369.0,118.0,184.0,182.0,68.0
2,1435363200000,13.0,79.0,10.0,465.0,17.0,1209.0,194.0,18.0,21.0,54.0,42.0,328.0,103.0,192.0,197.0,52.0
3,1435449600000,15.0,70.0,11.0,448.0,37.0,1108.0,190.0,10.0,12.0,39.0,23.0,330.0,88.0,140.0,166.0,70.0
6,1435536000000,13.0,100.0,14.0,445.0,23.0,1118.0,195.0,12.0,19.0,38.0,35.0,323.0,114.0,188.0,209.0,69.0
6,1435622400000,13.0,71.0,15.0,429.0,19.0,1025.0,178.0,10.0,19.0,33.0,26.0,286.0,123.0,166.0,179.0,63.0
2,1435708800000,18.0,87.0,18.0,452.0,24.0,949.0,234.0,10.0,19.0,46.0,32.0,326.0,107.0,190.0,157.0,50.0
6,1435795200000,11.0,76.0,12.0,407.0,19.0,1027.0,184.0,19.0,19.0,32.0,19.0,328.0,87.0,196.0,194.0,46.0
6,1435881600000,19.0,89.0,14.0,428.0,29.0,919.0,182.0,12.0,11.0,38.0,30.0,361.0,122.0,258.0,148.0,59.0
2,1435968000000,14.0,75.0,17.0,403.0,25.0,862.0,201.0,18.0,10.0,33.0,44.0,288.0,89.0,196.0,122.0,39.0
3,1436054400000,17.0,87.0,18.0,399.0,16.0,822.0,201.0,13.0,13.0,25.0,23.0,258.0,93.0,155.0,139.0,57.0
2,1436140800000,17.0,92.0,16.0,402.0,28.0,932.0,169.0,18.0,14.0,25.0,29.0,273.0,102.0,152.0,140.0,76.0
1,1436227200000,15.0,80.0,12.0,394.0,26.0,877.0,193.0,23.0,13.0,24.0,28.0,291.0,99.0,184.0,143.0,70.0
3,1436400000000,13.0,95.0,30.0,536.0,26.0,972.0,170.0,18.0,12.0,31.0,38.0,339.0,118.0,185.0,153.0,78.0
3,1436486400000,15.0,80.0,31.0,523.0,27.0,1021.0,206.0,15.0,12.0,37.0,47.0,366.0,118.0,189.0,160.0,59.0
1,1436572800000,15.0,101.0,18.0,494.0,36.0,1071.0,210.0,16.0,15.0,30.0,38.0,367.0,107.0,175.0,155.0,54.0
2,1436659200000,22.0,70.0,21.0,443.0,25.0,836.0,170.0,12.0,13.0,25.0,41.0,285.0,117.0,140.0,150.0,67.0
6,1436745600000,16.0,94.0,19.0,671.0,38.0,872.0,184.0,12.0,16.0,34.0,24.0,280.0,119.0,175.0,172.0,61.0
1,1436832000000,17.0,70.0,15.0,526.0,30.0,812.0,175.0,18.0,12.0,24.0,27.0,296.0,174.0,204.0,184.0,58.0
3,1436918400000,5.0,70.0,17.0,393.0,28.0,853.0,188.0,17.0,18.0,34.0,31.0,274.0,166.0,136.0,170.0,43.0
3,1437004800000,22.0,93.0,14.0,407.0,12.0,843.0,219.0,13.0,9.0,28.0,35.0,292.0,171.0,146.0,128.0,51.0
